,Athlete,NumChampGold,NumChampSilver,NumChampBronze,Total
1,Danyil BOLDYREV (UKR),2,3,1,6
2,Maksym STYENKOVYY (UKR),2,1,1,4
3,Libor HROZA (CZE),2,0,1,3
4,Evgenii VAITSEKHOVSKII (RUS),2,0,0,2
5,Marcin DZIENSKI (POL),1,2,2,5
6,Alexander PESHEKHONOV (RUS),1,0,1,2
7,Kairat RAKHMETOV (KAZ),1,0,0,1
8,Andrey VEDENMEER (UKR),1,0,0,1
9,Tomasz OLEKSY (POL),1,0,0,1
10,Sergey ABDRAKHMANOV (RUS),1,0,0,1
11,Ludovico FOSSALI (ITA),1,0,0,1
12,Vladislav DEULIN (RUS),1,0,0,1
13,Sergei SINITCYN (RUS),0,2,0,2
14,Stanislav KOKORIN (RUS),0,1,1,2
15,Cristian BRENNA (ITA),0,1,0,1
16,Mathieu DUTRAY (FRA),0,1,0,1
17,Alexandr PAUKAEV (UKR),0,1,0,1
18,Iakov SOUBBOTINE (RUS),0,1,0,1
19,Maksym OSIPOV (UKR),0,1,0,1
20,Lev RUDATSKIY (RUS),0,1,0,1
21,Matteo ZURLONI (ITA),0,1,0,1
22,Alexandre CHAOULSKY (RUS),0,0,2,2
23,Andrzej MARCISZ (POL),0,0,1,1
24,Pavel SAMOILINE (RUS),0,0,1,1
25,Vladimir ZAKHAROV (UKR),0,0,1,1
26,Alexei GADEEV (RUS),0,0,1,1
27,Dmitrii TIMOFEEV (RUS),0,0,1,1
28,Guillaume MORO (FRA),0,0,1,1
29,Erik NOYA CARDONA (ESP),0,0,1,1
