,Athlete,NumChampGold,NumChampSilver,NumChampBronze,Total
1,Janja GARNBRET (SLO),4,2,0,6
2,Viktoriia MESHKOVA (RUS),3,0,0,3
3,Laura ROGORA (ITA),2,1,0,3
4,Aleksandra MIROSLAW (POL),2,1,0,3
5,Olena RYEPKO (UKR),2,1,0,3
6,Anna STENKOVAYA (RUS),2,0,1,3
7,Edyta ROPEK (POL),2,0,0,2
8,Cecile AVEZOU (FRA),2,0,0,2
9,Mina MARKOVIC (SLO),1,3,1,5
10,Anna STÖHR (AUT),1,3,0,4
11,Stasa GEJO (SRB),1,1,2,4
12,Iuliia KAPLINA (RUS),1,1,1,3
13,Sandrine LEVET (FRA),1,1,1,3
14,Anna TSYGANOVA (RUS),1,1,0,2
15,Johanna ERNST (AUT),1,1,0,2
16,Natalija GROS (SLO),1,1,0,2
17,Natalia KALUCKA (POL),1,0,1,2
18,Anouck JAUBERT (FRA),1,0,1,2
19,Muriel SARKANY (BEL),1,0,1,2
20,Liv SANSOZ (FRA),1,0,1,2
21,Naïlé MEIGNAN (FRA),1,0,0,1
22,Ekaterina BARASHCHUK (RUS),1,0,0,1
23,Urska REPUSIC (SLO),1,0,0,1
24,Lucka RAKOVEC (SLO),1,0,0,1
25,Anak VERHOEVEN (BEL),1,0,0,1
26,Charlotte DURIF (FRA),1,0,0,1
27,Juliane WURM (GER),1,0,0,1
28,Dinara FAKHRITDINOVA (RUS),1,0,0,1
29,Olga BIBIK (RUS),1,0,0,1
30,Angela EITER (AUT),1,0,0,1
31,Bettina SCHÖPF (AUT),1,0,0,1
32,Juliette DANION (FRA),1,0,0,1
33,Chloé MINORET (FRA),1,0,0,1
34,Katrin SEDLMAYER (GER),1,0,0,1
35,Elena OVTCHINNIKOVA (USA),1,0,0,1
36,Susi GOOD (SUI),1,0,0,1
37,Ievgeniia KAZBEKOVA (UKR),0,2,0,2
38,Kseniia ALEKSEEVA (RUS),0,2,0,2
39,Jessica PILZ (AUT),0,1,2,3
40,Eliska ADAMOVSKA (CZE),0,1,1,2
41,Petra KLINGLER (SUI),0,1,1,2
42,Mariia KRASAVINA (RUS),0,1,1,2
43,Maja STREMFELJ (SLO),0,1,1,2
44,Valentina YURINA (RUS),0,1,1,2
45,Venera CHERESHNEVA (RUS),0,1,1,2
46,Stéphanie BODET (FRA),0,1,1,2
47,Laurence GUYON (FRA),0,1,1,2
48,Ayala KEREM (ISR),0,1,0,1
49,Chloe CAULIER (BEL),0,1,0,1
50,Hannah MEUL (GER),0,1,0,1
51,Patrycja CHUDZIAK (POL),0,1,0,1
52,Vita LUKAN (SLO),0,1,0,1
53,Aleksandra KALUCKA (POL),0,1,0,1
54,Elizaveta IVANOVA (RUS),0,1,0,1
55,Mia KRAMPL (SLO),0,1,0,1
56,Olga SHALAGINA (UKR),0,1,0,1
57,Olga MOROZKINA (RUS),0,1,0,1
58,Tatiana RUYGA (RUS),0,1,0,1
59,Martina CUFAR (SLO),0,1,0,1
60,Fanny ROGEAUX (FRA),0,1,0,1
61,Olga ZAKHAROVA (UKR),0,1,0,1
62,Yulia INOZEMTSEVA (RUS),0,1,0,1
63,Ameli HAAGER (GER),0,1,0,1
64,Isabelle PATISSIER (FRA),0,1,0,1
65,Katharina SAURWEIN (AUT),0,0,2,2
66,Zosia PODGORBOUNSKIKH (RUS),0,0,2,2
67,Zélia AVEZOU (FRA),0,0,1,1
68,Agathe CALLIET (FRA),0,0,1,1
69,Giulia RANDI (ITA),0,0,1,1
70,Lynn VAN DER MEER (NED),0,0,1,1
71,Molly THOMPSON-SMITH (GBR),0,0,1,1
72,Manon HILY (FRA),0,0,1,1
73,Hélène JANICOT (FRA),0,0,1,1
74,Irina KUZMENKO (RUS),0,0,1,1
75,Oriane BERTONE (FRA),0,0,1,1
76,Elena REMIZOVA (RUS),0,0,1,1
77,Luce DOUADY (FRA),0,0,1,1
78,Hannah MIDTBOE (NOR),0,0,1,1
79,Mélanie SANDOZ (FRA),0,0,1,1
80,Yuliya LEVOCHKINA (RUS),0,0,1,1
81,Alizée DUFRAISSE (FRA),0,0,1,1
82,Natalia TITOVA (RUS),0,0,1,1
83,Kim ANTHONI (BEL),0,0,1,1
84,Olga BEZHKO (UKR),0,0,1,1
85,Corinne THEROUX (FRA),0,0,1,1
86,Mayya PIRATINSKAYA (RUS),0,0,1,1
87,Vera KOTASOVA-KOSTRUHOVA (CZE),0,0,1,1
88,Svetlana SUTKINA (RUS),0,0,1,1
89,Marietta UHDEN (GER),0,0,1,1
90,Claudine TRECOURT (FRA),0,0,1,1
