,Athlete,Country,NumWCups
0,Valentina AGUADO (Current),Argentina,26
1,Zoe GARCIA MOLINA (Current),Argentina,3
2,Rocio ailen BECERRA (Current),Argentina,2
3,Roxy PERRY (Current),Australia,18
4,Oceania MACKENZIE (Current),Australia,18
5,Lucinda ann STIRLING,Australia,17
9,Muriel SARKANY,Belgium,93
10,Anak VERHOEVEN,Belgium,42
11,Heloïse DOUMONT (Current),Belgium,33
12,Janine CARDOSO,Brazil,17
13,Bianca DE MAGALHAES DE CASTRO (Current),Brazil,13
14,Anja KÖHLER  (Current),Brazil,9
15,Aleksandra TOTKOVA (Current),Bulgaria,18
16,Maria GEORGIEVA,Bulgaria,3
17,Elka JANKOVA,Bulgaria,2
18,Vinnith IM (Current),Cambodia,2
19,Rebecca FRANGOS (Current),Canada,26
20,Alannah YIP (Current),Canada,23
21,Babette ROY (Current),Canada,9
22,Alejandra CONTRERAS (Current),Chile,18
23,Ignacia MELLADO QUINTEROS (Current),Chile,7
24,Muykuay SILVA (Current),Chile,5
25,Yuetong ZHANG (Current),China,18
26,Zhilu LUO (Current),China,16
27,Chunhua LI,China,16
28,Hiu ying LIU,"China, Hong Kong Special Administrative Region",12
29,Tseng-Shun WONG (Current),"China, Hong Kong Special Administrative Region",6
30,Hei Kiu Heidi WONG (Current),"China, Hong Kong Special Administrative Region",5
31,Si Wan LEI (Current),"China, Macao Special Administrative Region",2
32,Sofia PARRADO (Current),Colombia,2
33,Sandra BAKULIC,Croatia,3
34,Karla ZRINSKI (Current),Croatia,2
35,Suncica HRASCANEC,Croatia,2
36,Michaela SMETANOVA (Current),Czechia,26
37,Eliska ADAMOVSKA (Current),Czechia,20
38,Lenka TRNKOVA,Czechia,16
42,Andrea ROJAS (Current),Ecuador,9
43,Carolina ROSERO,Ecuador,2
44,Emily GONZALEZ,Ecuador,1
45,Grecia daniela HERNANDEZ GUERRERO (Current),El Salvador,2
46,Iris HEIKKINEN (Current),Finland,6
47,Laura LOIKAS (Current),Finland,2
48,Eerika LIPSANEN,Finland,2
49,Hélène JANICOT (Current),France,75
50,Caroline CIAVALDINI,France,70
51,Charlotte DURIF,France,65
58,Danai VALSAMIDI (Current),Greece,3
59,Athena LIVANIU,Greece,2
60,Zantzou VASILIKI,Greece,1
61,Victoria YSRAEL (Current),Guam,1
62,Kylie BAKER (Current),Guam,1
63,Iris pamela DURON ANTONIO (Current),Honduras,2
67,Svana BJARNASON (Current),Iceland,10
68,Prateeksha ARUN (Current),India,3
69,Saniya farooque SHAIKH (Current),India,2
70,Bangalore subbarao ARCHANA,India,1
71,Sukma LINTANG CAHYANI (Current),Indonesia,11
72,Abdul rohma SYARIFAH,Indonesia,6
73,Iqamah NURUL,Indonesia,5
74,Elnaz REKABI (Current),Iran (Islamic Republic of),5
75,Rahil RAMEZANI (Current),Iran (Islamic Republic of),3
76,Moradi BAHAREH,Iran (Islamic Republic of),1
77,Noa SHIRAN (Current),Israel,25
78,Valeri KREMER (Current),Israel,24
79,Netta FREDMAN,Israel,24
80,Jenny LAVARDA,Italy,112
81,Luisa IOVANE,Italy,61
82,Claudia GHISOLFI (Current),Italy,53
83,Yuka KOBAYASHI,Japan,77
84,Akiyo NOGUCHI,Japan,51
85,Risa OTA (Current),Japan,47
86,Margarita AGAMBAYEVA (Current),Kazakhstan,6
87,Tamara KUZNETSOVA,Kazakhstan,4
88,Aliya ISKAKOVA,Kazakhstan,4
89,Baiba TSIPARSONE,Latvia,1
90,Elza elizabete BARAKA,Latvia,1
91,Arta MATELSONE (Current),Latvia,1
98,María fernanda HIDALGO AMEZQUITA (Current),Mexico,5
99,Analía DOMÍNGUEZ CRISTERNA (Current),Mexico,2
100,Arantza LUNA VELASCO (Current),Mexico,2
105,Nikki VAN BERGEN,Netherlands,44
106,Lynn VAN DER MEER (Current),Netherlands,28
107,Monica ZEILEMAKER,Netherlands,15
111,Tina johnsen HAFSAAS (Current),Norway,46
112,Linn karin STENDAL,Norway,40
113,Sunniva ØVRE-EIDE (Current),Norway,10
114,Melissa Esther CHEN CHEN (Current),Peru,2
115,Sofia alejandra HERRERA VEGA CENTENO (Current),Peru,1
124,Elizabeth SEPULVEDA (Current),Puerto Rico,10
125,Jain KIM (Current),Republic of Korea,104
126,Seuran HAN (Current),Republic of Korea,33
127,Mi-sun GO,Republic of Korea,32
134,Rowaida ALERWI (Current),Saudi Arabia,2
135,Tahani ALGOUHI (Current),Saudi Arabia,1
136,Stasa GEJO (Current),Serbia,15
137,Milica MARJANOVIC (Current),Serbia,2
138,Marija MILOSAVLJEVIC,Serbia,2
139,Natalie GOH SIHUI (Current),Singapore,3
140,Vanessa Si Yinn TENG (Current),Singapore,2
141,Lynnette KOH SIOK HENG (Current),Singapore,1
148,Tegwen OATES (Current),South Africa,4
149,Alyssa MEYER (Current),South Africa,4
150,RACHELLE DE CHARMOY,South Africa,3
157,Alexandra EYER,Switzerland,77
158,Katherine CHOONG,Switzerland,42
159,Anne-sophie KOLLER (Current),Switzerland,39
160,Hung ying LEE (Current),Taiwan,20
161,Bai-le HUANG,Taiwan,13
162,Hsiu-ju LIN,Taiwan,8
163,Puntarika TUNYAVANICH (Current),Thailand,3
164,Pratthana RAKSACHAT,Thailand,2
165,Watchareewan TOMAS,Thailand,1
166,Sara TRAJKOSKA (Current),The former Yugoslav Republic of Macedonia,2
170,Olena OSTAPENKO,Ukraine,51
171,Ievgeniia KAZBEKOVA (Current),Ukraine,34
172,Olena KRYVONIS,Ukraine,23
173,Molly THOMPSON-SMITH (Current),United Kingdom,37
174,Anne ARRAN,United Kingdom,29
175,Felicity BUTLER,United Kingdom,27
176,Robyn ERBESFIELD,United States of America,34
177,Elena OVTCHINNIKOVA,United States of America,30
178,Kyra CONDIE (Current),United States of America,20
180,Lianet CASTILLO (Current),Venezuela (Bolivarian Republic of),6
181,Francis RODRIGUEZ,Venezuela (Bolivarian Republic of),6
182,Daniela LOPEZ,Venezuela (Bolivarian Republic of),2
