,Country,Discipline,Gold,Silver,Bronze,Total
1,Russia,Speed,117,134,118,369
2,Poland,Speed,37,32,26,95
3,China,Speed,39,24,31,94
4,Ukraine,Speed,32,24,33,89
5,Indonesia,Speed,25,27,29,81
6,France,Speed,19,11,15,45
7,United States of America,Speed,9,10,7,26
8,Czechia,Speed,5,12,8,25
9,Iran (Islamic Republic of),Speed,6,2,6,14
10,Italy,Speed,3,4,6,13
11,Venezuela (Bolivarian Republic of),Speed,5,2,3,10
12,Japan,Speed,0,2,5,7
13,Spain,Speed,0,3,2,5
14,Republic of Korea,Speed,0,3,2,5
15,Hungary,Speed,0,3,1,4
16,Germany,Speed,0,1,3,4
17,Kazakhstan,Speed,0,3,0,3
18,Austria,Speed,0,1,1,2
19,"China, Hong Kong Special Administrative Region",Speed,1,0,0,1
20,United Kingdom,Speed,0,0,1,1
