,Country,Discipline,NumAthleteswithWCupWins,NumAthleteswithWCupPodiums
1,Russia,Speed,28,51
2,China,Speed,15,25
3,Indonesia,Speed,11,22
4,Poland,Speed,9,10
5,Ukraine,Speed,9,16
6,Venezuela (Bolivarian Republic of),Speed,4,5
7,France,Speed,3,5
8,Italy,Speed,2,4
9,United States of America,Speed,2,5
10,"China, Hong Kong Special Administrative Region",Speed,1,1
11,Czechia,Speed,1,2
12,Iran (Islamic Republic of),Speed,1,1
13,Germany,Speed,0,4
14,Spain,Speed,0,2
15,Japan,Speed,0,2
16,Austria,Speed,0,2
17,Kazakhstan,Speed,0,2
18,United Kingdom,Speed,0,1
19,Hungary,Speed,0,1
20,Republic of Korea,Speed,0,1
