,Country,Discipline,Gold,Silver,Bronze,Total
1,France,Lead,102,99,116,317
2,Slovenia,Lead,76,60,52,188
3,Austria,Lead,65,56,44,165
4,Japan,Lead,38,50,49,137
5,Spain,Lead,30,35,23,88
6,Republic of Korea,Lead,38,23,26,87
7,United States of America,Lead,30,29,27,86
8,Italy,Lead,19,26,22,67
9,Belgium,Lead,23,27,15,65
10,Czechia,Lead,27,19,12,58
11,Switzerland,Lead,11,11,24,46
12,Germany,Lead,7,13,17,37
13,United Kingdom,Lead,10,8,9,27
14,Russia,Lead,5,8,12,25
15,Netherlands,Lead,4,7,11,22
16,Canada,Lead,3,9,8,20
17,Ukraine,Lead,0,5,7,12
18,China,Lead,0,3,1,4
19,Indonesia,Lead,1,0,1,2
20,Bulgaria,Lead,0,1,1,2
21,Norway,Lead,0,0,2,2
22,Poland,Lead,0,0,1,1
