,Country,NumAthleteswithWCupWins,NumAthleteswithWCupPodiums
1,France,40,80
2,Russia,36,67
3,Japan,25,44
4,China,17,30
5,United States of America,17,28
6,Ukraine,13,23
7,Italy,12,23
8,Germany,12,23
9,Indonesia,11,23
10,Slovenia,11,19
11,Austria,9,18
12,Poland,9,11
13,United Kingdom,8,14
14,Spain,7,11
15,Switzerland,6,12
16,Republic of Korea,5,8
17,Czechia,4,9
18,Venezuela (Bolivarian Republic of),4,5
19,Belgium,3,5
20,Canada,1,2
21,Netherlands,1,1
22,"China, Hong Kong Special Administrative Region",1,1
23,Iran (Islamic Republic of),1,1
24,Israel,1,1
25,Australia,1,1
26,Sweden,0,2
27,Kazakhstan,0,2
28,Hungary,0,1
29,Serbia,0,1
30,Bulgaria,0,1
31,Finland,0,1
32,Norway,0,1
