,Athlete,Country,NumWCups
2,Diego martín MARSELLA,Argentina,12
3,Valentin STERNIK (Current),Argentina,10
4,Lautaro nicolás SORIA SANCHEZ,Argentina,7
5,Campbell HARRISON (Current),Australia,44
6,James KASSAY,Australia,22
7,Dylan PARKS (Current),Australia,22
8,Jakob SCHUBERT (Current),Austria,157
9,Kilian FISCHHUBER,Austria,107
10,Mario LECHNER,Austria,69
17,Nicolas COLLIN (Current),Belgium,86
18,Loïc TIMMERMANS,Belgium,68
19,Simon LORENZI (Current),Belgium,59
20,Javier Leonardo ALIAGA NINA (Current),Bolivia (Plurinational State of),1
22,Felipe HO FOGANHOLO (Current),Brazil,35
23,Cesar GROSSO,Brazil,30
24,Rodrigo IASI HANADA (Current),Brazil,26
26,Nikolay RUSEV (Current),Bulgaria,31
27,Slav KIROV (Current),Bulgaria,25
28,Milen VIDENOVSKI,Bulgaria,18
30,Sean MCCOLL (Current),Canada,178
31,Oscar BAUDRAND (Current),Canada,48
32,Elan JONASMCRAE,Canada,46
33,Benjamin VARGAS (Current),Chile,31
34,Joaquin URRUTIA (Current),Chile,22
35,Tomas RAVANAL,Chile,20
36,Yufei PAN (Current),China,70
37,Qixin ZHONG,China,57
38,Haibin QU,China,36
39,Cheung-Chi Shoji CHAN (Current),"China, Hong Kong Special Administrative Region",63
40,Chi-Fung AU (Current),"China, Hong Kong Special Administrative Region",63
41,Ka-Chun YAU (Current),"China, Hong Kong Special Administrative Region",36
42,Wan Tong LOK (Current),"China, Macao Special Administrative Region",17
43,Chon Hou LEI (Current),"China, Macao Special Administrative Region",5
44,Wan i LO,"China, Macao Special Administrative Region",1
45,Juan Sebastian SANCHEZ MARTIN (Current),Colombia,6
46,Tomás ARCE (Current),Colombia,6
47,Daniel TIRADO,Colombia,2
48,Ry MORRISON,Costa Rica,2
49,Tomas CASAS (Current),Costa Rica,2
50,Julio ARCE,Costa Rica,1
54,Charalampos GEMENETZI,Cyprus,4
55,Christos SOFOKLEOUS (Current),Cyprus,3
56,Andreas KANARI (Current),Cyprus,2
57,Martin STRANIK (Current),Czechia,87
58,Tomás MRÁZEK,Czechia,80
59,Adam ONDRA (Current),Czechia,70
70,Anthony GULLSTEN,Finland,20
71,Axel LINDFORS (Current),Finland,15
72,Nalle HUKKATAIVAL,Finland,14
79,Jan HOJER,Germany,97
80,Christoph HANKE (Current),Germany,70
81,Christian BINDHAMMER,Germany,70
82,Theodoros KONSTANTAKOPOULOS,Greece,11
83,Matthaios VALSAMIDIS (Current),Greece,10
84,Orfeas TSIAOUSIS (Current),Greece,7
85,Allen LACTAOEN (Current),Guam,3
86,Quitugua MICHAEL (Current),Guam,1
87,Donovan VICENTE (Current),Guam,1
91,Daniel alejandro MERINO ORDÓÑEZ,Honduras,4
92,Jonathan Odiel BENITEZ RODRIGUEZ (Current),Honduras,3
93,Erick CÓRDOVA A.,Honduras,1
94,Csaba KOMONDI,Hungary,46
95,Gyula JUHASZ,Hungary,14
96,Nimród Sebestyén TUSNÁDY  (Current),Hungary,14
97,Guðmundur freyr ARNARSON,Iceland,3
98,Birgir óli SNORRASON,Iceland,2
99,Sólon Thorberg HELGASON (Current),Iceland,2
100,Hritik MARNE,India,13
101,Deepu MALLESH (Current),India,7
102,Sandeep MAITY,India,6
103,Alfian MUHAMMAD FAJRI (Current),Indonesia,38
104,Aspar JAELOLO,Indonesia,28
105,Veddriq LEONARDO (Current),Indonesia,26
106,Reza ALIPOUR SHENAZANDIFARD (Current),Iran (Islamic Republic of),46
107,Gholamali BARATZADEH,Iran (Islamic Republic of),27
108,Hossein FAMILROHANI (Current),Iran (Islamic Republic of),15
110,Michael O'NEILL (Current),Ireland,19
111,Ciarán SCANLON (Current),Ireland,12
112,Mark SCANLON (Current),Ireland,7
113,Alex KHAZANOV,Israel,56
114,Nimrod MARCUS (Current),Israel,47
115,Yuval SHEMLA (Current),Israel,43
116,Stefano GHISOLFI (Current),Italy,115
117,Marcello BOMBARDI (Current),Italy,100
118,Luca ZARDINI,Italy,90
119,Kokoro FUJII,Japan,93
120,Tomoa NARASAKI (Current),Japan,92
121,Yoshiyuki OGATA (Current),Japan,89
123,Amir MAIMURATOV (Current),Kazakhstan,38
124,Rishat KHAIBULLIN (Current),Kazakhstan,32
125,Artyom DEVYATERIKOV,Kazakhstan,24
