,Athlete,NumWChampGold,NumWChampSilver,NumWChampBronze,Total
1,Dmitrii SHARAFUTDINOV (RUS),3,0,0,3
2,Tomoa NARASAKI (JPN),2,1,0,3
3,Adam ONDRA (CZE),1,2,0,3
4,Christian CORE (ITA),1,0,1,2
5,Salavat RAKHMETOV (RUS),1,0,0,1
6,Mauro CALIBANI (ITA),1,0,0,1
7,Mickael MAWEM (FRA),1,0,0,1
8,Kokoro FUJII (JPN),1,0,0,1
9,Sorato ANRAKU (JPN),1,0,0,1
10,Kai HARADA (JPN),1,0,0,1
11,Aleksei RUBTSOV (RUS),1,0,0,1
12,Mejdi SCHALCK (FRA),0,2,0,2
13,Kilian FISCHHUBER (AUT),0,2,0,2
14,Rustam GELMANOV (RUS),0,1,2,3
15,Jérôme MEYER (FRA),0,1,0,1
16,Frédéric TUSCAN (FRA),0,1,0,1
17,Jongwon CHON (KOR),0,1,0,1
18,Jernej KRUDER (SLO),0,1,0,1
19,Martin STRANIK (CZE),0,1,0,1
20,Jakob SCHUBERT (AUT),0,1,0,1
21,Dohyun LEE (KOR),0,0,2,2
22,Manuel CORNU (FRA),0,0,2,2
23,Yannick FLOHÉ (GER),0,0,1,1
24,Tomasz OLEKSY (POL),0,0,1,1
25,Jan HOJER (GER),0,0,1,1
26,Gregor VEZONIK (SLO),0,0,1,1
27,Gérome POUVREAU (FRA),0,0,1,1
28,Cédric LACHAT (SUI),0,0,1,1
29,David BARRANS (GBR),0,0,1,1
