,WChampEvent,Country,Discipline,Gold,Silver,Bronze,Total
1,Wchamp 2025,China,Speed,1,1,1,3
2,Wchamp 2025,Poland,Speed,1,0,0,1
3,Wchamp 2025,Germany,Speed,0,1,0,1
4,Wchamp 2025,United States of America,Speed,0,0,1,1
5,Wchamp 2023,Indonesia,Speed,1,0,1,2
6,Wchamp 2023,Italy,Speed,1,0,0,1
7,Wchamp 2023,China,Speed,0,1,0,1
8,Wchamp 2023,United States of America,Speed,0,1,0,1
9,Wchamp 2023,Poland,Speed,0,0,1,1
10,Wchamp 2021,Poland,Speed,1,0,1,2
11,Wchamp 2021,Ukraine,Speed,1,0,0,1
12,Wchamp 2021,Spain,Speed,0,1,0,1
13,Wchamp 2021,Russia,Speed,0,1,0,1
14,Wchamp 2021,United States of America,Speed,0,0,1,1
15,WChamp 2019 All,Poland,Speed,1,0,0,1
16,WChamp 2019 All,Italy,Speed,1,0,0,1
17,WChamp 2019 All,China,Speed,0,1,0,1
18,WChamp 2019 All,Czechia,Speed,0,1,0,1
19,WChamp 2019 All,France,Speed,0,0,1,1
20,WChamp 2019 All,Russia,Speed,0,0,1,1
21,WChamp 2018 All,Poland,Speed,1,1,0,2
22,WChamp 2018 All,Russia,Speed,0,0,2,2
23,WChamp 2018 All,Iran (Islamic Republic of),Speed,1,0,0,1
24,WChamp 2018 All,France,Speed,0,1,0,1
25,WChamp 2016 All,Russia,Speed,1,0,2,3
26,WChamp 2016 All,Poland,Speed,1,0,0,1
27,WChamp 2016 All,Iran (Islamic Republic of),Speed,0,1,0,1
28,WChamp 2016 All,France,Speed,0,1,0,1
29,WChamp 2014 Lead Speed Combined,Russia,Speed,1,1,0,2
30,WChamp 2014 Lead Speed Combined,Poland,Speed,0,1,1,2
31,WChamp 2014 Lead Speed Combined,Ukraine,Speed,1,0,0,1
32,WChamp 2014 Lead Speed Combined,Iran (Islamic Republic of),Speed,0,0,1,1
33,WChamp 2012 All,Russia,Speed,1,1,2,4
34,WChamp 2012 All,China,Speed,1,0,0,1
35,WChamp 2012 All,Czechia,Speed,0,1,0,1
36,WChamp 2011 All,Russia,Speed,1,2,0,3
37,WChamp 2011 All,China,Speed,1,0,0,1
38,WChamp 2011 All,Ukraine,Speed,0,0,1,1
39,WChamp 2011 All,Kazakhstan,Speed,0,0,1,1
40,WChamp 2009 All,China,Speed,2,1,2,5
41,WChamp 2009 All,Russia,Speed,0,1,0,1
42,WChamp 2007 All,Russia,Speed,1,0,2,3
43,WChamp 2007 All,China,Speed,1,0,0,1
44,WChamp 2007 All,Venezuela (Bolivarian Republic of),Speed,0,1,0,1
45,WChamp 2007 All,Poland,Speed,0,1,0,1
46,WChamp 2005 All,Russia,Speed,1,1,1,3
47,WChamp 2005 All,Ukraine,Speed,1,1,0,2
48,WChamp 2005 All,Poland,Speed,0,0,1,1
49,WChamp 2003 All,Russia,Speed,0,1,2,3
50,WChamp 2003 All,Ukraine,Speed,2,0,0,2
51,WChamp 2003 All,Poland,Speed,0,1,0,1
52,WChamp 2001 All,Ukraine,Speed,2,1,0,3
53,WChamp 2001 All,Russia,Speed,0,1,1,2
54,WChamp 2001 All,Poland,Speed,0,0,1,1
55,WChamp 1999 All,Ukraine,Speed,2,1,0,3
56,WChamp 1999 All,Russia,Speed,0,1,2,3
57,WChamp 1997 All,Russia,Speed,1,1,2,4
58,WChamp 1997 All,Spain,Speed,1,0,0,1
59,WChamp 1997 All,Ukraine,Speed,0,1,0,1
60,WChamp 1995 All,France,Speed,1,1,0,2
61,WChamp 1995 All,Ukraine,Speed,1,0,0,1
62,WChamp 1995 All,Czechia,Speed,0,1,0,1
63,WChamp 1995 All,Russia,Speed,0,0,1,1
64,WChamp 1995 All,Poland,Speed,0,0,1,1
65,WChamp 1993 All,Russia,Speed,2,0,0,2
66,WChamp 1993 All,Ukraine,Speed,0,1,1,2
67,WChamp 1993 All,Belgium,Speed,0,1,0,1
68,WChamp 1993 All,Poland,Speed,0,0,1,1
69,WChamp 1991 All,France,Speed,0,2,0,2
70,WChamp 1991 All,United States of America,Speed,1,0,0,1
71,WChamp 1991 All,Belgium,Speed,1,0,0,1
72,WChamp 1991 All,Kazakhstan,Speed,0,0,1,1
73,WChamp 1991 All,Russia,Speed,0,0,1,1
