,Athlete,NumWChampGold,NumWChampSilver,NumWChampBronze,Total
1,Olena RYEPKO (UKR),3,1,0,4
2,Tatiana RUYGA (RUS),2,1,0,3
3,Aleksandra MIROSLAW (POL),2,0,3,5
4,Isabelle DORSIMOND (BEL),1,1,0,2
5,Anna TSYGANOVA (RUS),1,1,0,2
6,Mariia KRASAVINA (RUS),1,0,1,2
7,Olga BIBIK (RUS),1,0,1,2
8,Desak MADE RITA KUSUMA DEWI (INA),1,0,0,1
9,Natalia KALUCKA (POL),1,0,0,1
10,Natalie RICHER (FRA),1,0,0,1
11,Olga ZAKHAROVA (UKR),1,0,0,1
12,Alina GAIDAMAKINA (RUS),1,0,0,1
13,Yuliya LEVOCHKINA (RUS),1,0,0,1
14,Cuilian HE (CHN),1,0,0,1
15,Iuliia KAPLINA (RUS),0,2,1,3
16,Valentina YURINA (RUS),0,1,2,3
17,Edyta ROPEK (POL),0,1,1,2
18,Anouck JAUBERT (FRA),0,1,1,2
19,Cuifang HE (CHN),0,1,0,1
20,Anna BROZEK (POL),0,1,0,1
21,Di NIU (CHN),0,1,0,1
22,Emma HUNT (USA),0,1,0,1
23,Cecile AVEZOU (FRA),0,1,0,1
24,Irina ZAYTSEVA (RUS),0,1,0,1
25,Mayya PIRATINSKAYA (RUS),0,1,0,1
26,Agnès BRARD (FRA),0,1,0,1
27,Klaudia BUCZEK (POL),0,1,0,1
28,Renata PISZCZEK (POL),0,0,2,2
29,Svetlana SUTKINA (RUS),0,0,1,1
30,Venera CHERESHNEVA (RUS),0,0,1,1
31,Natalia NOVIKOVA (RUS),0,0,1,1
32,Natalia TITOVA (RUS),0,0,1,1
33,Tamara KUZNETSOVA (KAZ),0,0,1,1
34,Chunhua LI (CHN),0,0,1,1
