,Athlete,NumWChampGold,NumWChampSilver,NumWChampBronze,Total
1,Angela EITER (AUT),4,0,0,4
2,Janja GARNBRET (SLO),3,2,0,5
3,Liv SANSOZ (FRA),2,0,1,3
4,Susi GOOD (SUI),2,0,0,2
5,Muriel SARKANY (BEL),1,4,0,5
6,Jain KIM (KOR),1,3,1,5
7,Robyn ERBESFIELD (USA),1,1,1,3
8,Chaehyun SEO (KOR),1,0,2,3
9,Ai MORI (JPN),1,0,1,2
10,Johanna ERNST (AUT),1,0,1,2
11,Jessica PILZ (AUT),1,0,0,1
12,Martina CUFAR (SLO),1,0,0,1
13,Isabelle PATISSIER (FRA),0,1,1,2
14,Mina MARKOVIC (SLO),0,1,1,2
15,Mia KRAMPL (SLO),0,1,0,1
16,Rosa REKAR (SLO),0,1,0,1
17,Natalia GROSSMAN (USA),0,1,0,1
18,Laurence GUYON (FRA),0,1,0,1
19,Emilie POUGET (FRA),0,1,0,1
20,Emily HARRINGTON (USA),0,1,0,1
21,Anak VERHOEVEN (BEL),0,1,0,1
22,Maja VIDMAR (SLO),0,0,2,2
23,Magdalena RÖCK (AUT),0,0,2,2
24,Laura ROGORA (ITA),0,0,1,1
25,Elena OVTCHINNIKOVA (USA),0,0,1,1
26,Marietta UHDEN (GER),0,0,1,1
27,Chloé MINORET (FRA),0,0,1,1
28,Sandrine LEVET (FRA),0,0,1,1
29,Akiyo NOGUCHI (JPN),0,0,1,1
