,Athlete,Country,Gender,Discipline,First,Second,Third
0,Janja GARNBRET,SLO,Female,Lead,31,10,5
1,Jain KIM,KOR,Female,Lead,30,13,13
2,Angela EITER,AUT,Female,Lead,25,13,4
3,Anna STÖHR,AUT,Female,Boulder,22,13,10
4,Akiyo NOGUCHI,JPN,Female,Boulder,21,20,17
5,Jakob SCHUBERT,AUT,Male,Lead,21,17,16
6,Ramón JULIAN PUIGBLANQUE,ESP,Male,Lead,21,14,8
7,Kilian FISCHHUBER,AUT,Male,Boulder,21,11,15
8,Alexandre CHABOT,FRA,Male,Lead,21,5,3
9,Muriel SARKANY,BEL,Female,Lead,20,19,6
10,Mina MARKOVIC,SLO,Female,Lead,20,19,6
11,Janja GARNBRET,SLO,Female,Boulder,18,5,0
12,François LEGRAND,FRA,Male,Lead,17,11,3
13,Sandrine LEVET,FRA,Female,Boulder,17,5,4
14,Adam ONDRA,CZE,Male,Lead,16,6,1
15,Anouck JAUBERT,FRA,Female,Speed,15,6,7
16,Evgenii VAITSEKHOVSKII,RUS,Male,Speed,14,13,6
17,Robyn ERBESFIELD,USA,Female,Lead,14,10,4
18,Aleksandra MIROSLAW,POL,Female,Speed,14,4,4
19,Qixin ZHONG,CHN,Male,Speed,13,2,8
20,Iuliia KAPLINA,RUS,Female,Speed,12,12,8
21,Dmitrii SHARAFUTDINOV,RUS,Male,Boulder,12,9,3
22,Maja VIDMAR,SLO,Female,Lead,12,7,14
23,Shauna COXSEY,GBR,Female,Boulder,11,12,7
24,Liv SANSOZ,FRA,Female,Lead,11,7,5
25,Jérôme MEYER,FRA,Male,Boulder,11,5,9
26,Olena RYEPKO,UKR,Female,Speed,11,3,6
27,Natalia GROSSMAN,USA,Female,Boulder,11,3,1
28,Tomás MRÁZEK,CZE,Male,Lead,10,11,8
29,Stanislav KOKORIN,RUS,Male,Speed,10,5,4
30,Sergei SINITCYN,RUS,Male,Speed,9,13,7
31,Anna STENKOVAYA,RUS,Female,Speed,9,7,4
32,Johanna ERNST,AUT,Female,Lead,9,4,3
33,Isabelle PATISSIER,FRA,Female,Lead,8,9,5
34,Edyta ROPEK,POL,Female,Speed,8,7,7
35,Alina GAIDAMAKINA,RUS,Female,Speed,8,4,1
36,Tomoa NARASAKI,JPN,Male,Boulder,7,15,4
37,Sachi AMMA,JPN,Male,Lead,7,12,10
38,Flavio CRESPI,ITA,Male,Lead,7,5,4
39,Sorato ANRAKU,JPN,Male,Lead,7,1,2
40,Patxi USOBIAGA LAKUNZA,ESP,Male,Lead,6,13,6
41,Mariia KRASAVINA,RUS,Female,Speed,6,11,12
42,Olga BIBIK,RUS,Female,Boulder,6,7,5
43,Yuji HIRAYAMA,JPN,Male,Lead,6,7,5
44,Chaehyun SEO,KOR,Female,Lead,6,7,5
