Gender,,,Female,Female,Female,Male,Male,Male
Position,,,1,2,3,1,2,3
Year,StartDate,Event,,,,,,
2024,2024-04-12,WC Wujiang 2024,Janja GARNBRET,Zhilu LUO,Chaehyun SEO,Toby ROBERTS,Taisei HOMMA,Sorato ANRAKU
2024,2024-06-26,WC Innsbruck 2024,Janja GARNBRET,Ai MORI,Chaehyun SEO,Jakob SCHUBERT,Alexander MEGOS,Toby ROBERTS
2024,2024-07-12,WC Chamonix 2024,Ai MORI,Jessica PILZ,Mei KOTAKE,Colin DUFFY,Sam AVEZOU,Toby ROBERTS
2024,2024-07-17,WC Briancon 2024,Mei KOTAKE,Laura ROGORA,Mattea PÖTZI,Zento MURASHITA,Satone YOSHIDA,Shion OMATA
2024,2024-09-06,WC Koper 2024,Janja GARNBRET,Jessica PILZ,Annie SANDERS,Toby ROBERTS,Sorato ANRAKU,Sam AVEZOU
2024,2024-10-02,WC Seoul 2024,Jessica PILZ,Ai MORI,Annie SANDERS,Sorato ANRAKU,Dohyun LEE,Shion OMATA
2025,2025-05-02,WC Bali 2025,Erin MCNEICE,Chaehyun SEO,Ai MORI,Satone YOSHIDA,Max BERTONE,Alberto GINÉS LÓPEZ
2025,2025-06-25,WC Innsbruck 2025,Janja GARNBRET,Laura ROGORA,Erin MCNEICE,Neo SUZUKI,Toby ROBERTS,Alberto GINÉS LÓPEZ
2025,2025-07-11,WC Chamonix 2025,Chaehyun SEO,Annie SANDERS,Erin MCNEICE,Sorato ANRAKU,Alberto GINÉS LÓPEZ,Filip SCHENK
2025,2025-07-18,WC Madrid 2025,Annie SANDERS,Laura ROGORA,Brooke RABOUTOU,Dohyun LEE,Alberto GINÉS LÓPEZ,Satone YOSHIDA
2025,2025-09-05,WC Koper 2025,Janja GARNBRET,Chaehyun SEO,Laura ROGORA,Sorato ANRAKU,Alberto GINÉS LÓPEZ,Toby ROBERTS
2025,2025-04-25,WC Wujiang 2025,Erin MCNEICE and Chaehyun SEO,not awarded,Annie SANDERS,Sorato ANRAKU,Neo SUZUKI,Alberto GINÉS LÓPEZ
2026,2026-05-08,WC Wujiang 2026,Annie SANDERS,Janja GARNBRET,Chaehyun SEO,Neo SUZUKI,Alberto GINÉS LÓPEZ,Dohyun LEE
2026,2026-06-03,WC Prague 2026,Annie SANDERS,Chaehyun SEO,Zélia AVEZOU,Putra TRI RAMADANI,Neo SUZUKI,Jakob SCHUBERT
