Gender,,,Female,Female,Female,Male,Male,Male
Position,,,1,2,3,1,2,3
Year,StartDate,Event,,,,,,
2023,2023-06-14,WC Innsbruck 2023,Janja GARNBRET,Ai MORI,Jessica PILZ,Sascha LEHMANN,Alexander MEGOS,Jakob SCHUBERT
2023,2023-06-30,WC Villars 2023,Janja GARNBRET,Jessica PILZ,Brooke RABOUTOU,Jakob SCHUBERT,Adam ONDRA,Alexander MEGOS
2023,2023-07-07,WC Chamonix 2023,Jain KIM,Nonoha KUME,Hélène JANICOT,Toby ROBERTS,Sam AVEZOU,Sorato ANRAKU
2023,2023-07-14,WC Briancon 2023,Vita LUKAN,Eliska ADAMOVSKA,Manon HILY,Sorato ANRAKU,Taisei HOMMA,Satone YOSHIDA
2023,2023-09-01,WC Koper 2023,Janja GARNBRET,Ai MORI,Vita LUKAN,Sorato ANRAKU,Jesse GRUPPER,Alberto GINÉS LÓPEZ
2023,2023-09-22,WC Wujiang 2023,Ai MORI,Jessica PILZ,Natsuki TANII,Sorato ANRAKU,Shion OMATA,Taisei HOMMA
2024,2024-04-12,WC Wujiang 2024,Janja GARNBRET,Zhilu LUO,Chaehyun SEO,Toby ROBERTS,Taisei HOMMA,Sorato ANRAKU
2024,2024-06-26,WC Innsbruck 2024,Janja GARNBRET,Ai MORI,Chaehyun SEO,Jakob SCHUBERT,Alexander MEGOS,Toby ROBERTS
2024,2024-07-12,WC Chamonix 2024,Ai MORI,Jessica PILZ,Mei KOTAKE,Colin DUFFY,Sam AVEZOU,Toby ROBERTS
2024,2024-07-17,WC Briancon 2024,Mei KOTAKE,Laura ROGORA,Mattea PÖTZI,Zento MURASHITA,Satone YOSHIDA,Shion OMATA
2024,2024-09-06,WC Koper 2024,Janja GARNBRET,Jessica PILZ,Annie SANDERS,Toby ROBERTS,Sorato ANRAKU,Sam AVEZOU
2024,2024-10-02,WC Seoul 2024,Jessica PILZ,Ai MORI,Annie SANDERS,Sorato ANRAKU,Dohyun LEE,Shion OMATA
