,Athlete,WC Series Wins,WC Series Top 5,WChampGold,WChampSilver,WChampBronze,WChampTotal,WCup 1st,WCup 2nd,WCup 3rd,WCup Total,WCup competed,WCup Win %,WCup Podium %
1,Evgenii VAITSEKHOVSKII (RUS),3,8,1,0,0,1,14,13,6,33,72,19,45
2,Stanislav KOKORIN (RUS),3,5,0,2,2,4,10,5,4,19,68,14,27
3,Sergei SINITCYN (RUS),3,11,0,0,2,2,9,13,7,29,68,13,42
4,Veddriq LEONARDO (INA),3,3,0,0,0,0,6,0,2,8,23,26,34
5,Andrey VEDENMEER (UKR),2,2,1,0,0,1,2,0,0,2,9,22,22
6,Tomasz OLEKSY (POL),2,5,0,1,1,2,5,2,1,8,36,13,22
7,Bassa MAWEM (FRA),2,5,0,1,0,1,3,3,5,11,45,6,24
8,Qixin ZHONG (CHN),1,6,4,0,0,4,13,2,8,23,50,26,46
9,Danyil BOLDYREV (UKR),1,5,2,0,1,3,5,7,6,18,48,10,37
10,Maksym STYENKOVYY (UKR),1,4,2,1,0,3,4,0,6,10,32,12,31
11,Marcin DZIENSKI (POL),1,5,1,0,0,1,4,3,3,10,67,5,14
12,Vladimir NETSVETAEV-DOLGALEV (RUS),1,4,1,1,1,3,2,2,2,6,12,16,50
13,Alexander PESHEKHONOV (RUS),1,6,0,0,1,1,5,9,3,17,38,13,44
14,Samuel WATSON (USA),1,4,0,0,0,0,5,1,1,7,23,21,30
15,Vladislav DEULIN (RUS),1,2,0,0,0,0,3,3,4,10,30,10,33
16,Kiromal KATIBIN (INA),1,3,0,0,0,0,2,4,7,13,21,9,61
17,Lukasz SWIRK (POL),1,2,0,0,0,0,1,3,1,5,40,2,12
18,Reza ALIPOUR SHENAZANDIFARD (IRI),0,3,1,1,1,3,6,2,6,14,45,13,31
19,Ludovico FOSSALI (ITA),0,2,1,0,0,1,2,1,3,6,53,3,11
20,Vladimir ZAKHAROV (UKR),0,3,1,1,0,2,0,0,3,3,12,0,25
