,Athlete,WC Series Wins,WC Series Top 5,WChampGold,WChampSilver,WChampBronze,WChampTotal,WCup 1st,WCup 2nd,WCup 3rd,WCup Total,WCup competed,WCup Win %,WCup Podium %
1,Sandrine LEVET (FRA),5,6,1,1,0,2,17,5,4,26,37,45,70
2,Anna STÖHR (AUT),4,9,2,0,2,4,22,13,10,45,74,29,60
3,Natalia GROSSMAN (USA),4,4,1,0,0,1,11,3,1,15,22,50,68
4,Akiyo NOGUCHI (JPN),4,12,0,3,2,5,20,20,17,57,85,23,67
5,Shauna COXSEY (GBR),2,6,0,0,1,1,11,12,7,30,50,22,60
6,Janja GARNBRET (SLO),1,5,3,0,0,3,17,5,0,22,25,68,88
7,Myriam MOTTEAU (FRA),1,3,1,0,0,1,2,2,3,7,19,10,36
8,Olga BIBIK (RUS),1,5,0,0,1,1,6,7,5,18,55,10,32
9,Juliette DANION (FRA),1,3,0,0,0,0,5,3,2,10,35,14,28
10,Miho NONAKA (JPN),1,8,0,1,0,1,4,10,10,24,54,7,44
11,Stéphanie BODET (FRA),1,1,0,0,0,0,3,2,0,5,5,60,100
12,Nataliya PERLOVA (UKR),1,2,0,1,1,2,1,1,1,3,33,3,9
13,Lisa RANDS (USA),1,1,0,0,0,0,1,1,0,2,9,11,22
14,Yulia ABRAMCHUK (RUS),0,6,1,1,0,2,2,6,7,15,53,3,28
15,Juliane WURM (GER),0,3,1,0,1,2,2,2,6,10,43,4,23
16,Olga SHALAGINA (UKR),0,1,1,1,0,2,2,3,3,8,25,8,32
17,Petra KLINGLER (SUI),0,2,1,0,0,1,1,0,0,1,65,1,1
18,Mélanie SANDOZ (FRA),0,0,1,0,0,1,0,0,0,0,0,0,0
19,Elena CHOUMILOVA (RUS),0,3,0,0,0,0,5,3,1,9,14,35,64
20,Alex PUCCIO (USA),0,3,0,1,0,1,2,3,8,13,36,5,36
21,Natalija GROS (SLO),0,3,0,0,0,0,2,3,2,7,29,6,24
22,Oriane BERTONE (FRA),0,2,0,1,0,1,2,8,0,10,19,10,52
23,Chloé GRAFTIAUX (BEL),0,2,0,0,0,0,2,2,2,6,33,6,18
24,Mina MARKOVIC (SLO),0,2,0,0,0,0,2,1,0,3,37,5,8
25,Alex JOHNSON (USA),0,1,0,0,0,0,2,2,0,4,26,7,15
26,Annie SANDERS (USA),0,1,0,0,0,0,2,0,2,4,11,18,36
27,Megan MASCARENAS (USA),0,1,0,0,0,0,2,0,2,4,13,15,30
28,Brooke RABOUTOU (USA),0,3,0,0,1,1,1,1,6,8,22,4,36
29,Katharina SAURWEIN (AUT),0,1,0,0,0,0,1,2,1,4,68,1,5
30,Jain KIM (KOR),0,1,0,0,0,0,1,1,4,6,36,2,16
31,Mao NAKAMURA (JPN),0,1,0,0,0,0,1,0,0,1,25,4,4
32,Naïlé MEIGNAN (FRA),0,0,0,0,0,0,1,1,1,3,9,11,33
33,Liv SANSOZ (FRA),0,0,0,0,0,0,1,0,1,2,2,50,100
34,Marietta UHDEN (GER),0,0,0,0,0,0,1,0,1,2,4,25,50
35,Josune BERECIARTU URRUZOLA (ESP),0,0,0,0,0,0,1,0,0,1,2,50,50
36,Alexandra BALAKIREVA (RUS),0,0,0,0,0,0,1,0,0,1,21,4,4
37,Melissa LE NEVE (FRA),0,2,0,0,0,0,0,4,5,9,49,0,18
38,Fanny GIBERT (FRA),0,2,0,0,0,0,0,3,3,6,55,0,10
39,Emilie ABGRALL (FRA),0,2,0,0,0,0,0,2,2,4,24,0,16
40,Corinne THEROUX (FRA),0,2,0,0,0,0,0,2,0,2,27,0,7
41,Vera KOTASOVA-KOSTRUHOVA (CZE),0,2,0,0,1,1,0,0,2,2,20,0,10
42,Delphine MARTIN (FRA),0,2,0,0,0,0,0,0,1,1,12,0,8
43,Futaba ITO (JPN),0,2,0,0,0,0,0,0,0,0,0,0,0
44,Olga IAKOVLEVA (RUS),0,1,0,1,0,1,0,1,1,2,21,0,9
45,Hannah MEUL (GER),0,1,0,0,0,0,0,3,0,3,24,0,12
46,Gaelle GOURIOU (FRA),0,1,0,0,0,0,0,1,1,2,6,0,33
47,Lauren LEE (USA),0,1,0,0,0,0,0,1,0,1,1,0,100
48,Monika RETSCHY (GER),0,1,0,0,0,0,0,1,0,1,45,0,2
