,Athlete,WC Series Wins,WC Series Top 5,WChampGold,WChampSilver,WChampBronze,WChampTotal,WCup 1st,WCup 2nd,WCup 3rd,WCup Total,WCup competed,WCup Win %,WCup Podium %
1,Tatiana RUYGA (RUS),3,5,2,1,0,3,5,6,4,15,28,17,53
2,Olga ZAKHAROVA (UKR),3,6,1,0,0,1,4,4,1,9,21,19,42
3,Edyta ROPEK (POL),3,7,0,1,1,2,8,7,7,22,86,9,25
4,Olena RYEPKO (UKR),2,6,3,1,0,4,11,3,6,20,40,27,50
5,Alina GAIDAMAKINA (RUS),2,4,1,0,0,1,8,4,1,13,32,25,40
6,Mariia KRASAVINA (RUS),2,7,1,0,1,2,6,11,12,29,53,11,54
7,Anouck JAUBERT (FRA),2,7,0,1,1,2,15,6,7,28,55,27,50
8,Emma HUNT (USA),2,3,0,1,0,1,3,5,4,12,26,11,46
9,Yuliya LEVOCHKINA (RUS),1,5,1,0,0,1,4,4,3,11,34,11,32
10,Natalia KALUCKA (POL),1,4,1,0,0,1,1,8,1,10,35,2,28
11,Iuliia KAPLINA (RUS),1,6,0,2,1,3,12,12,8,32,48,25,66
12,Anna STENKOVAYA (RUS),1,6,0,0,0,0,9,7,4,20,42,21,47
13,Lijuan DENG (CHN),1,3,0,1,0,1,6,0,5,11,26,23,42
14,Valentina YURINA (RUS),1,7,0,1,2,3,5,6,11,22,49,10,44
15,Yiling SONG (CHN),1,1,0,0,0,0,3,2,0,5,15,20,33
16,Aleksandra KALUCKA (POL),1,1,0,0,0,0,2,3,5,10,30,6,33
17,Renata PISZCZEK (POL),1,2,0,0,2,2,1,0,1,2,11,9,18
18,Aleksandra MIROSLAW (POL),0,7,3,0,3,6,14,4,4,22,47,29,46
19,Desak MADE RITA KUSUMA DEWI (INA),0,2,1,0,0,1,3,3,4,10,21,14,47
20,Cuilian HE (CHN),0,1,1,0,0,1,1,2,4,7,36,2,19
21,Olga BIBIK (RUS),0,1,1,0,1,2,1,1,0,2,3,33,66
22,Anna TSYGANOVA (RUS),0,3,1,1,0,2,0,2,6,8,39,0,20
23,Isabelle DORSIMOND (BEL),0,0,1,1,0,2,0,0,0,0,0,0,0
24,Natalie RICHER (FRA),0,0,1,0,0,1,0,0,0,0,0,0,0
25,Aries SUSANTI RAHAYU (INA),0,2,0,0,0,0,4,2,1,7,13,30,53
26,Svitlana TUZHYLINA (UKR),0,3,0,0,0,0,3,1,2,6,21,14,28
27,Kseniia ALEKSEEVA (RUS),0,3,0,0,0,0,2,5,3,10,21,9,47
28,Zosia PODGORBOUNSKIKH (RUS),0,3,0,0,0,0,2,1,4,7,16,12,43
29,Shaoqin ZHANG (CHN),0,1,0,0,0,0,2,0,2,4,21,9,19
30,Klaudia BUCZEK (POL),0,2,0,1,0,1,1,2,1,4,51,1,7
31,Mayya PIRATINSKAYA (RUS),0,2,0,1,0,1,1,1,1,3,30,3,10
32,Olena OSTAPENKO (UKR),0,2,0,0,0,0,1,2,0,3,12,8,25
33,Chunhua LI (CHN),0,1,0,0,1,1,1,1,1,3,14,7,21
34,Yafei ZHOU (CHN),0,1,0,0,1,1,1,1,0,2,19,5,10
35,Rajiah SALLSABILLAH (INA),0,1,0,0,0,0,1,1,0,2,26,3,7
36,Lucelia BLANCO (VEN),0,1,0,0,0,0,1,0,1,2,24,4,8
